date,hour,temp,rain_amount,humidity,wind,cloud,precip,city
2024-01-01,0,18.4,0.0,92,6.9,3,0.0,HaNoi
2024-01-01,1,18.0,0.0,95,6.1,9,0.0,HaNoi
2024-01-01,2,17.7,0.0,97,5.3,96,0.0,HaNoi
2024-01-01,3,17.8,0.0,97,4.9,100,0.0,HaNoi
2024-01-01,4,18.7,0.2,93,7.0,41,0.2,HaNoi
2024-01-01,5,18.4,0.0,96,5.5,48,0.0,HaNoi
2024-01-01,6,18.5,0.0,95,5.1,100,0.0,HaNoi
2024-01-01,7,18.6,0.0,95,7.2,100,0.0,HaNoi
2024-01-01,8,20.0,0.0,88,3.4,54,0.0,HaNoi
2024-01-01,9,21.6,0.0,79,3.7,54,0.0,HaNoi
2024-01-01,10,23.1,0.0,70,5.8,16,0.0,HaNoi
2024-01-01,11,24.7,0.0,64,7.2,38,0.0,HaNoi
2024-01-01,12,26.1,0.0,60,10.2,98,0.0,HaNoi
2024-01-01,13,26.4,0.0,59,12.8,100,0.0,HaNoi
2024-01-01,14,26.8,0.1,59,14.8,57,0.1,HaNoi
2024-01-01,15,26.7,0.0,59,14.8,60,0.0,HaNoi
2024-01-01,16,26.5,0.0,59,15.5,42,0.0,HaNoi
2024-01-01,17,25.4,0.0,62,14.6,21,0.0,HaNoi
2024-01-01,18,23.5,0.0,67,17.6,4,0.0,HaNoi
2024-01-01,19,21.8,0.0,77,14.5,4,0.0,HaNoi
2024-01-01,20,21.0,0.0,85,12.3,15,0.0,HaNoi
2024-01-01,21,20.4,0.0,90,8.4,13,0.0,HaNoi
2024-01-01,22,20.1,0.0,93,8.2,100,0.0,HaNoi
2024-01-01,23,20.1,0.0,93,9.2,100,0.0,HaNoi
2024-01-02,0,20.4,0.0,93,10.2,100,0.0,HaNoi
2024-01-02,1,20.4,0.0,93,10.1,100,0.0,HaNoi
2024-01-02,2,20.3,0.0,94,9.1,100,0.0,HaNoi
2024-01-02,3,20.1,0.0,96,7.5,100,0.0,HaNoi
2024-01-02,4,19.9,0.0,97,6.8,100,0.0,HaNoi
2024-01-02,5,20.2,0.0,95,8.6,100,0.0,HaNoi
2024-01-02,6,20.4,0.0,95,9.2,96,0.0,HaNoi
2024-01-02,7,20.2,0.0,96,9.2,98,0.0,HaNoi
2024-01-02,8,22.0,0.0,85,11.7,92,0.0,HaNoi
2024-01-02,9,23.2,0.0,78,11.0,44,0.0,HaNoi
2024-01-02,10,24.6,0.1,71,11.4,29,0.1,HaNoi
2024-01-02,11,25.6,0.1,67,10.6,100,0.1,HaNoi
2024-01-02,12,26.3,0.1,62,10.5,26,0.1,HaNoi
2024-01-02,13,27.0,0.0,59,11.6,33,0.0,HaNoi
2024-01-02,14,27.4,0.1,57,12.2,26,0.1,HaNoi
2024-01-02,15,27.7,0.0,55,12.9,26,0.0,HaNoi
2024-01-02,16,27.4,0.0,56,14.4,46,0.0,HaNoi
2024-01-02,17,25.9,0.0,64,14.6,17,0.0,HaNoi
2024-01-02,18,24.0,0.0,74,13.0,3,0.0,HaNoi
2024-01-02,19,23.0,0.0,79,12.8,1,0.0,HaNoi
2024-01-02,20,21.8,0.0,86,14.1,1,0.0,HaNoi
2024-01-02,21,21.0,0.0,91,11.9,4,0.0,HaNoi
2024-01-02,22,20.4,0.0,95,9.7,90,0.0,HaNoi
2024-01-02,23,20.4,0.0,95,10.8,100,0.0,HaNoi
2024-01-03,0,20.4,0.0,95,10.1,100,0.0,HaNoi
2024-01-03,1,20.0,1.0,96,12.2,100,1.0,HaNoi
2024-01-03,2,19.5,2.1,95,13.2,100,2.1,HaNoi
2024-01-03,3,19.5,1.0,93,18.4,100,1.0,HaNoi
2024-01-03,4,18.2,0.5,88,25.1,100,0.5,HaNoi
2024-01-03,5,17.2,0.0,82,26.5,100,0.0,HaNoi
2024-01-03,6,16.8,0.0,77,23.5,100,0.0,HaNoi
2024-01-03,7,16.4,0.2,78,15.8,100,0.2,HaNoi
2024-01-03,8,17.6,0.0,76,21.8,100,0.0,HaNoi
2024-01-03,9,17.1,1.0,83,14.1,100,1.0,HaNoi
2024-01-03,10,17.4,0.9,87,14.0,100,0.9,HaNoi
2024-01-03,11,17.9,0.3,79,14.5,100,0.3,HaNoi
2024-01-03,12,17.9,0.3,78,12.3,100,0.3,HaNoi
2024-01-03,13,17.7,0.3,79,10.4,100,0.3,HaNoi
2024-01-03,14,18.2,0.1,76,11.2,100,0.1,HaNoi
2024-01-03,15,18.8,0.0,69,8.9,100,0.0,HaNoi
2024-01-03,16,19.0,0.0,66,6.9,100,0.0,HaNoi
2024-01-03,17,18.8,0.0,65,3.8,100,0.0,HaNoi
2024-01-03,18,18.0,0.0,77,2.7,78,0.0,HaNoi
2024-01-03,19,17.7,0.0,78,3.3,100,0.0,HaNoi
2024-01-03,20,16.3,0.0,82,6.8,12,0.0,HaNoi
2024-01-03,21,15.9,0.0,83,6.3,19,0.0,HaNoi
2024-01-03,22,15.7,0.0,85,6.6,100,0.0,HaNoi
2024-01-03,23,15.5,0.0,85,6.5,100,0.0,HaNoi
2024-01-04,0,16.9,0.0,72,5.9,100,0.0,HaNoi
2024-01-04,1,17.1,0.0,64,6.6,100,0.0,HaNoi
2024-01-04,2,17.0,0.0,63,6.6,100,0.0,HaNoi
2024-01-04,3,16.9,0.0,62,7.2,100,0.0,HaNoi
2024-01-04,4,16.8,0.0,63,6.3,100,0.0,HaNoi
2024-01-04,5,16.7,0.0,63,6.3,100,0.0,HaNoi
2024-01-04,6,16.6,0.0,63,6.7,95,0.0,HaNoi
2024-01-04,7,16.7,0.0,64,6.9,100,0.0,HaNoi
2024-01-04,8,17.7,0.0,64,4.7,67,0.0,HaNoi
2024-01-04,9,18.8,0.0,62,1.1,37,0.0,HaNoi
2024-01-04,10,19.9,0.0,59,2.4,98,0.0,HaNoi
2024-01-04,11,21.2,0.0,55,5.1,100,0.0,HaNoi
2024-01-04,12,22.0,0.0,53,6.9,77,0.0,HaNoi
2024-01-04,13,22.7,0.0,53,8.1,85,0.0,HaNoi
2024-01-04,14,23.2,0.0,53,9.8,100,0.0,HaNoi
2024-01-04,15,23.4,0.0,54,11.9,100,0.0,HaNoi
2024-01-04,16,23.1,0.0,56,14.5,92,0.0,HaNoi
2024-01-04,17,22.2,0.0,63,14.8,94,0.0,HaNoi
2024-01-04,18,20.8,0.0,69,14.6,4,0.0,HaNoi
2024-01-04,19,19.3,0.0,78,12.0,11,0.0,HaNoi
2024-01-04,20,18.2,0.0,81,12.0,1,0.0,HaNoi
2024-01-04,21,17.6,0.0,85,8.1,4,0.0,HaNoi
2024-01-04,22,16.7,0.0,90,5.9,19,0.0,HaNoi
2024-01-04,23,16.5,0.0,91,5.9,100,0.0,HaNoi
2024-01-05,0,17.4,0.0,87,6.9,100,0.0,HaNoi
2024-01-05,1,17.7,0.0,85,7.1,100,0.0,HaNoi
2024-01-05,2,17.7,0.0,86,4.7,100,0.0,HaNoi
2024-01-05,3,17.7,0.0,87,3.6,100,0.0,HaNoi
2024-01-05,4,17.7,0.0,88,4.2,100,0.0,HaNoi
2024-01-05,5,17.7,0.0,88,4.7,100,0.0,HaNoi
2024-01-05,6,17.7,0.0,89,5.4,100,0.0,HaNoi
2024-01-05,7,17.8,0.0,89,5.8,98,0.0,HaNoi
2024-01-05,8,18.5,0.0,85,5.5,32,0.0,HaNoi
2024-01-05,9,19.6,0.0,81,4.7,79,0.0,HaNoi
2024-01-05,10,20.7,0.0,78,5.6,100,0.0,HaNoi
2024-01-05,11,21.2,0.0,76,6.0,100,0.0,HaNoi
2024-01-05,12,22.1,0.0,73,7.8,100,0.0,HaNoi
2024-01-05,13,23.2,0.0,70,9.5,100,0.0,HaNoi
2024-01-05,14,23.6,0.0,68,9.1,100,0.0,HaNoi
2024-01-05,15,24.2,0.0,65,8.3,99,0.0,HaNoi
2024-01-05,16,24.6,0.0,63,12.4,89,0.0,HaNoi
2024-01-05,17,23.7,0.0,68,10.0,32,0.0,HaNoi
2024-01-05,18,22.0,0.0,76,8.0,36,0.0,HaNoi
2024-01-05,19,21.1,0.0,81,11.0,44,0.0,HaNoi
2024-01-05,20,20.6,0.0,89,12.7,29,0.0,HaNoi
2024-01-05,21,19.7,0.0,95,10.5,14,0.0,HaNoi
2024-01-05,22,19.1,0.0,97,8.7,25,0.0,HaNoi
2024-01-05,23,18.8,0.0,98,6.4,95,0.0,HaNoi
2024-01-06,0,18.6,0.0,99,5.9,100,0.0,HaNoi
2024-01-06,1,19.2,0.0,98,3.4,100,0.0,HaNoi
2024-01-06,2,19.3,0.0,97,4.3,100,0.0,HaNoi
2024-01-06,3,18.8,0.1,99,3.1,100,0.1,HaNoi
2024-01-06,4,19.0,0.5,99,2.6,100,0.5,HaNoi
