date,hour,temp,rain_amount,humidity,wind,cloud,precip,city
2025-05-23,0,27.2,0.0,91,10.2,100,0.0,HaNoi
2025-05-23,1,27.3,0.0,93,9.7,100,0.0,HaNoi
2025-05-23,2,27.1,0.0,93,9.9,100,0.0,HaNoi
2025-05-23,3,27.1,0.0,94,9.4,100,0.0,HaNoi
2025-05-23,4,27.2,0.0,94,9.4,100,0.0,HaNoi
2025-05-23,5,27.2,0.0,94,9.4,100,0.0,HaNoi
2025-05-23,6,27.2,0.0,94,9.4,100,0.0,HaNoi
2025-05-23,7,27.6,0.0,93,9.4,100,0.0,HaNoi
2025-05-23,8,27.9,0.0,90,8.4,100,1.1,HaNoi
2025-05-23,9,28.3,0.0,87,7.6,100,1.5,HaNoi
2025-05-23,10,28.5,0.0,86,7.6,100,1.4,HaNoi
2025-05-23,11,29.3,0.0,85,5.8,100,0.8,HaNoi
2025-05-23,12,29.8,0.0,84,4.0,100,0.5,HaNoi
2025-05-23,13,29.2,0.0,86,4.7,100,3.4,HaNoi
2025-05-23,14,28.2,0.0,89,4.7,100,6.4,HaNoi
2025-05-23,15,27.5,0.0,91,4.5,100,3.8,HaNoi
2025-05-23,16,27.3,0.0,91,5.2,100,3.3,HaNoi
2025-05-23,17,27.2,0.0,91,5.6,100,2.0,HaNoi
2025-05-23,18,26.9,0.0,90,5.2,100,2.3,HaNoi
2025-05-23,19,26.7,0.0,91,3.9,100,1.8,HaNoi
2025-05-23,20,26.6,0.0,92,3.3,100,1.8,HaNoi
2025-05-23,21,26.4,0.0,93,3.6,100,1.1,HaNoi
2025-05-23,22,26.3,0.0,94,2.8,100,0.8,HaNoi
2025-05-23,23,26.1,0.0,94,2.6,100,1.4,HaNoi
2025-05-24,0,26.0,0.0,95,2.3,100,1.0,HaNoi
2025-05-24,1,25.9,0.0,95,3.1,100,0.4,HaNoi
2025-05-24,2,25.8,0.0,95,3.7,100,0.1,HaNoi
2025-05-24,3,25.5,0.0,95,4.0,100,0.0,HaNoi
2025-05-24,4,25.2,0.0,95,4.8,100,0.1,HaNoi
2025-05-24,5,25.1,0.1,95,4.8,100,0.5,HaNoi
2025-05-24,6,25.0,0.1,95,5.4,100,0.8,HaNoi
2025-05-24,7,25.0,0.2,95,6.3,100,1.3,HaNoi
2025-05-24,8,25.0,0.1,93,9.1,100,1.0,HaNoi
2025-05-24,9,25.0,0.3,91,11.4,100,1.0,HaNoi
2025-05-24,10,24.8,0.2,86,11.0,100,0.9,HaNoi
2025-05-24,11,25.2,0.1,83,8.4,100,1.0,HaNoi
2025-05-24,12,25.7,0.0,80,8.1,100,0.4,HaNoi
2025-05-24,13,26.2,0.0,78,9.7,99,1.0,HaNoi
2025-05-24,14,26.4,0.0,76,13.6,97,0.0,HaNoi
2025-05-24,15,25.5,0.0,77,14.0,99,0.1,HaNoi
2025-05-24,16,24.9,0.0,76,11.6,99,0.4,HaNoi
2025-05-24,17,24.6,0.0,75,11.6,96,0.3,HaNoi
2025-05-24,18,24.3,0.0,75,9.4,93,0.0,HaNoi
2025-05-24,19,24.0,0.0,74,9.4,100,0.0,HaNoi
2025-05-24,20,23.9,0.0,74,9.0,95,0.0,HaNoi
2025-05-24,21,23.7,0.0,75,9.1,86,0.0,HaNoi
2025-05-24,22,23.7,0.0,75,6.5,97,0.0,HaNoi
2025-05-24,23,23.5,0.0,76,6.4,96,0.1,HaNoi
2025-05-25,0,23.4,0.0,76,7.3,92,0.1,HaNoi
2025-05-25,1,23.4,0.0,74,7.9,93,0.0,HaNoi
2025-05-25,2,23.3,0.0,73,7.0,90,0.0,HaNoi
2025-05-25,3,23.2,0.0,72,5.8,100,0.0,HaNoi
2025-05-25,4,23.2,0.0,73,4.5,99,0.0,HaNoi
2025-05-25,5,23.2,0.0,73,5.0,100,0.0,HaNoi
2025-05-25,6,23.2,0.0,73,4.8,100,0.0,HaNoi
2025-05-25,7,23.5,0.0,73,5.4,100,0.0,HaNoi
2025-05-25,8,24.3,0.0,70,6.7,90,0.0,HaNoi
2025-05-25,9,25.0,0.0,66,9.8,95,0.0,HaNoi
2025-05-25,10,25.4,0.0,65,10.4,99,0.0,HaNoi
2025-05-25,11,26.0,0.0,64,10.1,92,0.0,HaNoi
2025-05-25,12,26.9,0.0,63,10.5,91,0.0,HaNoi
2025-05-25,13,27.8,0.0,62,10.9,88,0.0,HaNoi
2025-05-25,14,28.3,0.0,61,10.2,88,0.0,HaNoi
2025-05-25,15,28.5,0.0,61,9.1,90,0.0,HaNoi
2025-05-25,16,28.5,0.0,61,8.3,86,0.0,HaNoi
2025-05-25,17,28.3,0.0,62,7.2,100,0.0,HaNoi
2025-05-25,18,27.8,0.0,64,5.8,100,0.0,HaNoi
2025-05-25,19,27.1,0.0,67,6.3,83,0.0,HaNoi
2025-05-25,20,26.4,0.0,67,9.0,85,0.0,HaNoi
2025-05-25,21,25.6,0.0,69,8.7,95,0.0,HaNoi
2025-05-25,22,25.0,0.0,72,8.3,85,0.0,HaNoi
2025-05-25,23,24.5,0.0,73,6.7,92,0.0,HaNoi
2025-05-26,0,24.2,0.0,74,6.9,92,0.0,HaNoi
2025-05-26,1,24.0,0.0,74,6.6,99,0.0,HaNoi
2025-05-26,2,23.8,0.0,74,6.3,100,0.0,HaNoi
2025-05-26,3,23.6,0.0,75,6.2,100,0.0,HaNoi
2025-05-26,4,23.5,0.0,76,5.1,100,0.0,HaNoi
2025-05-26,5,23.4,0.0,76,5.1,99,0.0,HaNoi
2025-05-26,6,23.4,0.0,76,4.7,100,0.0,HaNoi
2025-05-26,7,23.4,0.0,77,5.2,100,0.0,HaNoi
2025-05-26,8,24.0,0.0,76,7.2,100,0.0,HaNoi
2025-05-26,9,24.8,0.0,74,7.8,97,0.0,HaNoi
2025-05-26,10,25.1,0.0,73,7.1,100,0.0,HaNoi
2025-05-26,11,25.9,0.0,71,7.9,100,0.0,HaNoi
2025-05-26,12,26.4,0.0,71,7.4,100,0.0,HaNoi
2025-05-26,13,26.8,0.0,70,6.5,100,0.0,HaNoi
2025-05-26,14,27.2,0.0,69,5.8,100,0.0,HaNoi
2025-05-26,15,27.4,0.0,69,4.7,100,0.0,HaNoi
2025-05-26,16,27.4,0.0,70,3.7,100,0.0,HaNoi
2025-05-26,17,27.0,0.1,74,2.2,100,0.2,HaNoi
2025-05-26,18,26.4,0.1,78,1.9,100,0.2,HaNoi
2025-05-26,19,25.8,0.1,83,2.9,100,0.2,HaNoi
2025-05-26,20,25.3,0.0,87,3.6,99,0.0,HaNoi
2025-05-26,21,24.9,0.0,90,3.6,99,0.0,HaNoi
2025-05-26,22,24.6,0.0,92,4.1,98,0.0,HaNoi
2025-05-26,23,24.3,0.0,93,4.6,98,0.1,HaNoi
2025-05-27,0,24.1,0.0,93,5.0,98,0.1,HaNoi
2025-05-27,1,24.0,0.0,93,5.2,98,0.1,HaNoi
2025-05-27,2,23.8,0.0,93,4.4,98,0.1,HaNoi
2025-05-27,3,23.8,0.0,94,3.8,99,0.1,HaNoi
2025-05-27,4,23.7,0.0,94,3.2,99,0.1,HaNoi
2025-05-27,5,23.7,0.0,94,3.1,99,0.3,HaNoi
2025-05-27,6,23.8,0.0,94,2.7,100,0.3,HaNoi
2025-05-27,7,24.0,0.0,94,2.6,100,0.3,HaNoi
2025-05-27,8,24.2,0.0,94,3.3,100,0.3,HaNoi
2025-05-27,9,24.5,0.0,93,4.3,100,0.3,HaNoi
2025-05-27,10,25.1,0.0,91,4.4,100,0.3,HaNoi
2025-05-27,11,26.2,0.0,87,2.2,100,0.2,HaNoi
2025-05-27,12,27.6,0.0,81,3.2,100,0.2,HaNoi
2025-05-27,13,28.6,0.0,77,5.7,100,0.2,HaNoi
2025-05-27,14,29.0,0.0,76,6.3,100,0.1,HaNoi
2025-05-27,15,29.1,0.0,76,6.0,100,0.1,HaNoi
2025-05-27,16,29.0,0.0,78,5.6,100,0.1,HaNoi
2025-05-27,17,28.4,0.0,82,6.1,100,1.2,HaNoi
2025-05-27,18,27.6,0.0,86,6.9,100,1.2,HaNoi
2025-05-27,19,26.9,0.0,90,7.1,100,1.2,HaNoi
2025-05-27,20,26.5,0.0,92,6.9,100,0.3,HaNoi
2025-05-27,21,26.2,0.0,92,6.4,100,0.3,HaNoi
2025-05-27,22,26.0,0.0,93,6.1,100,0.3,HaNoi
2025-05-27,23,25.8,0.0,94,6.1,100,0.9,HaNoi
