time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm)
2024-01-01T00:00,18.4,0,92,6.9,3,0
2024-01-01T01:00,18,0,95,6.1,9,0
2024-01-01T02:00,17.7,0,97,5.3,96,0
2024-01-01T03:00,17.8,0,97,4.9,100,0
2024-01-01T04:00,18.7,0.2,93,7,41,0.2
2024-01-01T05:00,18.4,0,96,5.5,48,0
2024-01-01T06:00,18.5,0,95,5.1,100,0
2024-01-01T07:00,18.6,0,95,7.2,100,0
2024-01-01T08:00,20,0,88,3.4,54,0
2024-01-01T09:00,21.6,0,79,3.7,54,0
2024-01-01T10:00,23.1,0,70,5.8,16,0
2024-01-01T11:00,24.7,0,64,7.2,38,0
2024-01-01T12:00,26.1,0,60,10.2,98,0
2024-01-01T13:00,26.4,0,59,12.8,100,0
2024-01-01T14:00,26.8,0.1,59,14.8,57,0.1
2024-01-01T15:00,26.7,0,59,14.8,60,0
2024-01-01T16:00,26.5,0,59,15.5,42,0
2024-01-01T17:00,25.4,0,62,14.6,21,0
2024-01-01T18:00,23.5,0,67,17.6,4,0
2024-01-01T19:00,21.8,0,77,14.5,4,0
2024-01-01T20:00,21,0,85,12.3,15,0
2024-01-01T21:00,20.4,0,90,8.4,13,0
2024-01-01T22:00,20.1,0,93,8.2,100,0
2024-01-01T23:00,20.1,0,93,9.2,100,0
2024-01-02T00:00,20.4,0,93,10.2,100,0
2024-01-02T01:00,20.4,0,93,10.1,100,0
2024-01-02T02:00,20.3,0,94,9.1,100,0
2024-01-02T03:00,20.1,0,96,7.5,100,0
2024-01-02T04:00,19.9,0,97,6.8,100,0
2024-01-02T05:00,20.2,0,95,8.6,100,0
2024-01-02T06:00,20.4,0,95,9.2,96,0
2024-01-02T07:00,20.2,0,96,9.2,98,0
2024-01-02T08:00,22,0,85,11.7,92,0
2024-01-02T09:00,23.2,0,78,11,44,0
2024-01-02T10:00,24.6,0.1,71,11.4,29,0.1
2024-01-02T11:00,25.6,0.1,67,10.6,100,0.1
2024-01-02T12:00,26.3,0.1,62,10.5,26,0.1
2024-01-02T13:00,27,0,59,11.6,33,0
2024-01-02T14:00,27.4,0.1,57,12.2,26,0.1
2024-01-02T15:00,27.7,0,55,12.9,26,0
2024-01-02T16:00,27.4,0,56,14.4,46,0
2024-01-02T17:00,25.9,0,64,14.6,17,0
2024-01-02T18:00,24,0,74,13,3,0
2024-01-02T19:00,23,0,79,12.8,1,0
2024-01-02T20:00,21.8,0,86,14.1,1,0
