time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm)
2024-01-01T00:00,25.1,0,89,4.6,77,0
2024-01-01T01:00,25.2,0,89,2.2,98,0
2024-01-01T02:00,24.6,0,92,0.8,99,0
2024-01-01T03:00,23.7,0,97,3.5,99,0
2024-01-01T04:00,23.8,0,97,5.6,99,0
2024-01-01T05:00,23.7,0,96,5.7,99,0
2024-01-01T06:00,23.5,0,96,5.6,99,0
2024-01-01T07:00,24.5,0,90,7.1,95,0
2024-01-01T08:00,26.3,0,79,6.5,100,0
2024-01-01T09:00,28.1,0,68,5.6,100,0
2024-01-01T10:00,29.7,0,63,6,100,0
2024-01-01T11:00,30.9,0,60,6,100,0
2024-01-01T12:00,31.9,0,56,3.9,100,0
2024-01-01T13:00,32.4,0,53,1.3,100,0
2024-01-01T14:00,32.9,0,51,0.8,100,0
2024-01-01T15:00,32.7,0,51,3.3,100,0
2024-01-01T16:00,32.6,0,50,3.6,100,0
2024-01-01T17:00,31.7,0,58,1.8,100,0
2024-01-01T18:00,29.8,0,61,6.8,98,0
2024-01-01T19:00,28.1,0,73,12.2,100,0
2024-01-01T20:00,27.3,0,74,9.1,100,0
2024-01-01T21:00,26.4,0,79,5.4,100,0
2024-01-01T22:00,25.7,0,83,4.4,100,0
2024-01-01T23:00,25.1,0,87,4.3,100,0
2024-01-02T00:00,24.9,0,88,3.8,100,0
2024-01-02T01:00,24.3,0,91,4.4,100,0
2024-01-02T02:00,23.9,0,93,4.3,100,0
2024-01-02T03:00,23.9,0,93,2.4,99,0
2024-01-02T04:00,23.3,0,97,2.9,93,0
2024-01-02T05:00,23.1,0,97,3.3,100,0
2024-01-02T06:00,23.1,0,97,4.6,100,0
2024-01-02T07:00,24.4,0,91,7,75,0
2024-01-02T08:00,26.7,0,82,4.9,66,0
2024-01-02T09:00,28.6,0,73,4.6,20,0
2024-01-02T10:00,29.9,0.1,67,5.7,94,0.1
2024-01-02T11:00,30.8,0.1,62,5.8,36,0.1
2024-01-02T12:00,31.7,0.1,58,5,17,0.1
2024-01-02T13:00,32.4,0,55,4.2,7,0
2024-01-02T14:00,33,0,51,3.1,6,0
2024-01-02T15:00,33.2,0,49,3.5,10,0
2024-01-02T16:00,32.9,0,50,4.7,10,0
2024-01-02T17:00,31.8,0,54,4.4,57,0
2024-01-02T18:00,29.7,0,62,11.1,16,0
2024-01-02T19:00,27.7,0,74,14.8,34,0
2024-01-02T20:00,27.5,0,74,13.3,84,0
2024-01-02T21:00,26.9,0,77,8.7,63,0
2024-01-02T22:00,26.4,0,82,7.4,51,0
2024-01-02T23:00,25.9,0,86,5.2,73,0
2024-01-03T00:00,25.5,0,88,4.7,88,0
2024-01-03T01:00,24.7,0,92,5.1,100,0
2024-01-03T02:00,25.1,0,89,2.9,95,0
2024-01-03T03:00,24,0,95,2.6,100,0
2024-01-03T04:00,24,0,95,4,98,0
2024-01-03T05:00,24,0,96,5.5,27,0
2024-01-03T06:00,23.9,0,95,6.2,40,0
2024-01-03T07:00,24.8,0,90,8,79,0
2024-01-03T08:00,26.9,0,78,7.3,24,0
2024-01-03T09:00,28.7,0,69,6.5,41,0
2024-01-03T10:00,30,0,64,6.2,63,0
2024-01-03T11:00,31.2,0,59,5,50,0
2024-01-03T12:00,32.1,0,55,5,21,0
2024-01-03T13:00,32.6,0,53,5.1,24,0
2024-01-03T14:00,32.9,0,51,4.3,11,0
2024-01-03T15:00,33.1,0,49,2.6,12,0
2024-01-03T16:00,32.9,0,49,2.9,17,0
2024-01-03T17:00,31.6,0,54,4.1,17,0
2024-01-03T18:00,29.2,0,65,13.7,6,0
2024-01-03T19:00,27.5,0,74,13.6,4,0
2024-01-03T20:00,27.4,0,73,12.6,15,0
2024-01-03T21:00,26.8,0,75,10.5,5,0
2024-01-03T22:00,26,0,80,4.2,6,0
2024-01-03T23:00,25.4,0,87,5.6,9,0
2024-01-04T00:00,25,0,87,2.5,19,0
2024-01-04T01:00,24.9,0,86,5.7,36,0
2024-01-04T02:00,24.6,0,88,5.1,43,0
2024-01-04T03:00,24.2,0,89,7.1,38,0
2024-01-04T04:00,23.9,0,77,7,0,0
2024-01-04T05:00,23.3,0,72,5.4,0,0
2024-01-04T06:00,23,0,71,6.3,0,0
2024-01-04T07:00,23.5,0,71,6.9,9,0
2024-01-04T08:00,25.4,0,68,5.4,4,0
2024-01-04T09:00,27.2,0,66,3.6,36,0
2024-01-04T10:00,28.7,0,64,1.6,80,0
2024-01-04T11:00,30.2,0,61,1.1,91,0
2024-01-04T12:00,31.4,0,56,2.2,60,0
2024-01-04T13:00,32.2,0,53,4.1,29,0
2024-01-04T14:00,32.7,0,53,6,6,0
2024-01-04T15:00,32.8,0,52,5.9,14,0
2024-01-04T16:00,32.5,0,53,5.6,80,0
2024-01-04T17:00,31.6,0,57,3.9,17,0
2024-01-04T18:00,29.5,0,67,4,25,0
2024-01-04T19:00,27.7,0,70,15.5,14,0
2024-01-04T20:00,26.6,0,75,12.3,28,0
2024-01-04T21:00,26.2,0,77,11.6,23,0
2024-01-04T22:00,25.7,0,80,10.8,46,0
2024-01-04T23:00,25.2,0,83,7.8,100,0
2024-01-05T00:00,24.7,0,85,4.8,95,0
2024-01-05T01:00,24,0,88,4,100,0
2024-01-05T02:00,23.5,0,91,4.7,98,0
2024-01-05T03:00,23.3,0,91,4.7,100,0
2024-01-05T04:00,22.9,0,94,5.2,100,0
2024-01-05T05:00,22.7,0,96,5,100,0
2024-01-05T06:00,22.5,0,96,6.1,100,0
2024-01-05T07:00,23.6,0,90,6,100,0
2024-01-05T08:00,25.6,0,79,4.7,100,0
2024-01-05T09:00,27.2,0,71,3.8,100,0
2024-01-05T10:00,28.6,0,65,4,100,0
2024-01-05T11:00,30.2,0,59,2.9,100,0
2024-01-05T12:00,31.3,0,55,3.6,100,0
2024-01-05T13:00,32.2,0,51,2.9,100,0
2024-01-05T14:00,33.1,0,47,3.2,100,0
2024-01-05T15:00,33.4,0,45,5.6,100,0
2024-01-05T16:00,32.9,0,46,7.4,100,0
2024-01-05T17:00,31.1,0,58,4.6,88,0
2024-01-05T18:00,28.7,0,68,5,100,0
2024-01-05T19:00,27.9,0,67,11.6,100,0
2024-01-05T20:00,27.3,0,73,7.4,87,0
2024-01-05T21:00,26.3,0,72,6.4,97,0
2024-01-05T22:00,25.3,0,78,4.4,100,0
2024-01-05T23:00,24.7,0,84,5.5,96,0
2024-01-06T00:00,24.4,0,85,4.6,99,0
2024-01-06T01:00,23.9,0,87,3.9,98,0
2024-01-06T02:00,24.4,0,83,0.8,100,0
2024-01-06T03:00,22.9,0,91,4.3,100,0
2024-01-06T04:00,22.6,0,93,4.3,100,0
2024-01-06T05:00,22.2,0,96,5.5,100,0
2024-01-06T06:00,22.8,0,92,1.8,100,0
2024-01-06T07:00,23.3,0,90,3.6,100,0
2024-01-06T08:00,25.6,0,81,1.1,100,0
2024-01-06T09:00,27.7,0,72,0.8,93,0
2024-01-06T10:00,29.5,0,63,0.8,82,0
2024-01-06T11:00,31,0,57,3.8,84,0
2024-01-06T12:00,32,0,52,4.6,89,0
2024-01-06T13:00,32.7,0,50,4.8,20,0
2024-01-06T14:00,33.1,0,50,3.6,16,0
2024-01-06T15:00,32.9,0,50,2.3,21,0
2024-01-06T16:00,32.6,0,50,1,43,0
2024-01-06T17:00,30.1,0.5,65,8.4,50,0.5
2024-01-06T18:00,28.3,0.1,73,11.4,16,0.1
2024-01-06T19:00,28,0,75,6.8,20,0
2024-01-06T20:00,26.9,0,81,4,79,0
2024-01-06T21:00,26.1,0,87,5.4,73,0
2024-01-06T22:00,26,0,86,4.2,85,0
2024-01-06T23:00,25.6,0,89,5.2,80,0
2024-01-07T00:00,25.5,0,89,3.6,97,0
2024-01-07T01:00,25,0,91,2.2,99,0
2024-01-07T02:00,24.8,0,92,2.2,97,0
2024-01-07T03:00,23.9,0,97,4.6,100,0
2024-01-07T04:00,24.1,0,96,3.3,100,0
2024-01-07T05:00,23.5,0,98,4.8,98,0
2024-01-07T06:00,23.6,0,98,4.7,99,0
2024-01-07T07:00,24.3,0,93,6.5,89,0
2024-01-07T08:00,26.4,0,82,5.8,33,0
2024-01-07T09:00,28.1,0,74,4,60,0
2024-01-07T10:00,29.7,0,68,1.3,38,0
2024-01-07T11:00,30.9,0,63,1.1,90,0
2024-01-07T12:00,31.9,0,59,2.6,100,0
2024-01-07T13:00,32.6,0,57,2.8,100,0
2024-01-07T14:00,32.7,0,56,2.4,100,0
2024-01-07T15:00,32.5,0,56,2.2,20,0
2024-01-07T16:00,32,0,55,2.5,12,0
2024-01-07T17:00,31.4,0,58,1.6,25,0
2024-01-07T18:00,29.6,0,64,9.7,80,0
2024-01-07T19:00,27.5,0,72,14.1,7,0
2024-01-07T20:00,27.4,0,72,9.8,39,0
2024-01-07T21:00,26.6,0,74,10.6,14,0
2024-01-07T22:00,25.9,0,77,9,74,0
2024-01-07T23:00,25.4,0,79,5.6,83,0
2024-01-08T00:00,25.1,0,79,6.6,97,0
2024-01-08T01:00,24.9,0,81,3.8,100,0
2024-01-08T02:00,25,0,79,1.8,100,0
2024-01-08T03:00,24.3,0,86,4.1,100,0
2024-01-08T04:00,23.9,0,88,2.9,100,0
2024-01-08T05:00,23.4,0,89,3.6,100,0
2024-01-08T06:00,23,0,91,3.6,100,0
2024-01-08T07:00,23.9,0,88,5.8,100,0
2024-01-08T08:00,26,0,81,5.4,98,0
2024-01-08T09:00,27.7,0,75,5.7,100,0
2024-01-08T10:00,29.1,0.1,68,2.3,88,0.1
2024-01-08T11:00,29.9,0.2,65,1.8,46,0.2
2024-01-08T12:00,30.6,0.1,61,2.2,94,0.1
2024-01-08T13:00,31,0.1,60,1.5,100,0.1
2024-01-08T14:00,31.2,0.1,59,2.6,100,0.1
2024-01-08T15:00,31,0.1,59,5.7,100,0.1
2024-01-08T16:00,30.5,0.1,61,6.9,100,0.1
2024-01-08T17:00,29.8,0,64,6.2,100,0
2024-01-08T18:00,28.2,0,73,4.9,100,0
2024-01-08T19:00,27.7,0,73,5.9,100,0
2024-01-08T20:00,27.6,0,72,7.4,100,0
2024-01-08T21:00,26.7,0,73,8.5,100,0
2024-01-08T22:00,26.1,0,74,7.4,100,0
2024-01-08T23:00,25.5,0,77,5.4,100,0
2024-01-09T00:00,24.7,0,82,4.6,100,0
2024-01-09T01:00,24.5,0,82,4.3,100,0
2024-01-09T02:00,24.3,0,83,5.5,100,0
2024-01-09T03:00,23.6,0,88,5.1,100,0
2024-01-09T04:00,24.1,0,84,2.5,100,0
2024-01-09T05:00,23.2,0,90,2.9,100,0
2024-01-09T06:00,23.2,0,90,2.6,100,0
2024-01-09T07:00,23.9,0,88,1.8,100,0
2024-01-09T08:00,26.3,0,83,6.3,100,0
2024-01-09T09:00,28.2,0,77,5,99,0
2024-01-09T10:00,29.8,0.2,68,7.1,98,0.2
2024-01-09T11:00,31,0.1,61,6.7,94,0.1
2024-01-09T12:00,31.9,0,57,5.5,95,0
2024-01-09T13:00,32.5,0,55,4.7,98,0
2024-01-09T14:00,32.6,0,53,3.7,97,0
2024-01-09T15:00,32.6,0,52,3.6,96,0
2024-01-09T16:00,32.4,0,53,5,47,0
2024-01-09T17:00,31.5,0,59,2.9,4,0
2024-01-09T18:00,31.4,0,56,2.3,4,0
2024-01-09T19:00,28.1,0,67,14.8,1,0
2024-01-09T20:00,26.9,0,74,10.6,11,0
2024-01-09T21:00,26.4,0,72,9.4,4,0
2024-01-09T22:00,25.7,0,75,7,4,0
2024-01-09T23:00,25.1,0,78,6.8,0,0
2024-01-10T00:00,24.7,0,80,6.8,2,0
2024-01-10T01:00,24.2,0,81,5.3,0,0
2024-01-10T02:00,23.7,0,84,4.2,2,0
2024-01-10T03:00,23.1,0,89,5.8,11,0
2024-01-10T04:00,23.1,0,88,4.2,10,0
2024-01-10T05:00,23.1,0,87,4.8,5,0
2024-01-10T06:00,23.1,0,88,5.6,53,0
2024-01-10T07:00,23.8,0,86,7,10,0
2024-01-10T08:00,26.2,0,80,7,97,0
2024-01-10T09:00,27.9,0,75,6.8,54,0
2024-01-10T10:00,29.7,0,66,7.4,51,0
2024-01-10T11:00,31.2,0,61,6,98,0
2024-01-10T12:00,32,0,56,7,83,0
2024-01-10T13:00,32.5,0,54,6.9,100,0
2024-01-10T14:00,32.9,0,52,7.1,96,0
2024-01-10T15:00,33,0,51,6.3,33,0
2024-01-10T16:00,32.5,0,52,6.1,96,0
2024-01-10T17:00,31.5,0,57,5.9,99,0
2024-01-10T18:00,29.5,0,65,4.9,100,0
2024-01-10T19:00,28.1,0,67,16.4,99,0
2024-01-10T20:00,27.6,0,73,14.7,76,0
2024-01-10T21:00,26.6,0,77,14.3,18,0
2024-01-10T22:00,26,0,79,11.2,68,0
2024-01-10T23:00,25.6,0,80,9.4,99,0
2024-01-11T00:00,25.2,0,81,9.2,100,0
2024-01-11T01:00,24.8,0,83,7.6,100,0
2024-01-11T02:00,24.1,0,86,4.8,100,0
2024-01-11T03:00,23.4,0,91,4.7,100,0
2024-01-11T04:00,23,0,94,5.4,100,0
2024-01-11T05:00,22.9,0,94,4.7,96,0
2024-01-11T06:00,22.7,0,96,4.2,4,0
2024-01-11T07:00,23.8,0,90,6.9,97,0
2024-01-11T08:00,26.2,0,81,6.4,55,0
2024-01-11T09:00,27.9,0,72,4.3,47,0
2024-01-11T10:00,29.5,0,66,3.9,57,0
2024-01-11T11:00,30.6,0.1,61,6.3,48,0.1
2024-01-11T12:00,31.6,0,56,5.4,29,0
2024-01-11T13:00,32.5,0,53,5.9,16,0
2024-01-11T14:00,33.2,0,49,6.9,15,0
2024-01-11T15:00,33.3,0,46,8.5,23,0
2024-01-11T16:00,32.9,0,47,8.2,52,0
2024-01-11T17:00,31.7,0,52,5.5,58,0
2024-01-11T18:00,29,0,64,6.4,3,0
2024-01-11T19:00,27.6,0,70,16.9,26,0
2024-01-11T20:00,26.5,0,78,13.7,99,0
2024-01-11T21:00,26,0,73,14.3,100,0
2024-01-11T22:00,25.4,0,75,11.2,100,0
2024-01-11T23:00,24.9,0,77,8.9,100,0
2024-01-12T00:00,24.4,0,80,7.2,100,0
